
TimeEDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:51 AM,69.1,46.0,44,29.88,10.0,Variable,4.6,-,N/A,,Mostly Cloudy,0,2013-04-10 04:51:00<br />
1:51 AM,70.0,48.9,47,29.86,10.0,Variable,4.6,-,N/A,,Clear,0,2013-04-10 05:51:00<br />
2:51 AM,70.0,50.0,49,29.81,10.0,Variable,6.9,-,N/A,,Clear,0,2013-04-10 06:51:00<br />
3:51 AM,66.0,48.9,54,29.86,10.0,Variable,4.6,-,N/A,,Scattered Clouds,0,2013-04-10 07:51:00<br />
4:51 AM,59.0,44.1,58,29.88,10.0,NE,3.5,-,N/A,,Clear,50,2013-04-10 08:51:00<br />
5:51 AM,57.0,45.0,64,29.89,10.0,Calm,Calm,-,N/A,,Clear,0,2013-04-10 09:51:00<br />
6:51 AM,55.9,46.0,69,29.91,10.0,Calm,Calm,-,N/A,,Clear,0,2013-04-10 10:51:00<br />
7:51 AM,57.9,45.0,62,29.94,10.0,NNE,3.5,-,N/A,,Clear,30,2013-04-10 11:51:00<br />
8:51 AM,59.0,46.0,62,29.93,10.0,Calm,Calm,-,N/A,,Overcast,0,2013-04-10 12:51:00<br />
9:51 AM,63.0,46.9,56,29.93,10.0,ENE,5.8,-,N/A,,Clear,60,2013-04-10 13:51:00<br />
10:51 AM,66.0,46.9,50,29.93,10.0,ENE,5.8,-,N/A,,Clear,70,2013-04-10 14:51:00<br />
11:51 AM,66.9,48.0,51,29.93,10.0,ENE,5.8,-,N/A,,Overcast,60,2013-04-10 15:51:00<br />
12:51 PM,69.1,48.0,47,29.93,10.0,ESE,5.8,-,N/A,,Clear,120,2013-04-10 16:51:00<br />
1:51 PM,72.0,48.9,44,29.92,10.0,East,6.9,-,N/A,,Clear,80,2013-04-10 17:51:00<br />
2:51 PM,72.0,50.0,46,29.90,10.0,ENE,10.4,-,N/A,,Clear,60,2013-04-10 18:51:00<br />
3:51 PM,71.1,48.9,45,29.87,10.0,North,-9999.0,-,N/A,,Unknown,0,2013-04-10 19:51:00<br />
4:51 PM,63.0,46.9,56,29.88,10.0,Variable,4.6,16.1,N/A,,Clear,0,2013-04-10 20:51:00<br />
5:51 PM,60.1,46.0,60,29.86,10.0,North,-9999.0,-,N/A,,Partly Cloudy,0,2013-04-10 21:51:00<br />
6:51 PM,57.0,46.0,67,29.84,10.0,Variable,5.8,-,N/A,,Clear,0,2013-04-10 22:51:00<br />
7:25 PM,57.0,53.1,87,29.95,1.8,Calm,Calm,-,0.04,Rain,Heavy Rain,0,2013-04-10 23:25:00<br />
7:51 PM,57.0,54.0,89,29.84,3.0,SSE,10.4,-,0.20,Rain,Light Rain,150,2013-04-10 23:51:00<br />
8:51 PM,57.9,55.0,90,29.84,7.0,SSW,4.6,-,0.03,,Clear,200,2013-04-11 00:51:00<br />
9:51 PM,57.0,53.1,87,29.84,8.0,North,-9999.0,-,N/A,,Partly Cloudy,0,2013-04-11 01:51:00<br />
10:25 PM,57.0,54.0,89,29.94,1.8,West,4.6,-,0.01,Rain,Heavy Rain,260,2013-04-11 02:25:00<br />
10:39 PM,57.0,55.0,93,29.95,1.5,Variable,4.6,-,0.15,Rain,Heavy Rain,0,2013-04-11 02:39:00<br />
10:48 PM,55.4,55.4,100,29.92,1.5,South,4.6,-,0.19,Rain,Rain,190,2013-04-11 02:48:00<br />
10:51 PM,55.9,55.0,97,29.89,1.5,South,4.6,-,0.21,Rain,Rain,180,2013-04-11 02:51:00<br />
11:28 PM,57.0,55.9,96,29.90,3.0,Calm,Calm,-,0.04,,Overcast,0,2013-04-11 03:28:00<br />
11:42 PM,57.9,57.0,97,29.89,2.0,Calm,Calm,-,0.04,Rain,Light Rain,0,2013-04-11 03:42:00<br />
11:51 PM,57.9,57.0,97,29.85,1.5,SSE,3.5,-,0.04,Rain,Light Rain,150,2013-04-11 03:51:00<br />
