
TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:51 AM,51.1,30.9,46,29.96,10.0,WSW,5.8,-,N/A,,Overcast,250,2013-11-12 05:51:00<br />
1:51 AM,51.1,32.0,48,29.95,10.0,Variable,4.6,-,N/A,,Overcast,0,2013-11-12 06:51:00<br />
2:51 AM,51.1,32.0,48,29.94,10.0,Calm,Calm,-,N/A,,Overcast,0,2013-11-12 07:51:00<br />
3:51 AM,51.1,30.9,46,29.94,10.0,Variable,3.5,-,N/A,,Overcast,0,2013-11-12 08:51:00<br />
4:51 AM,48.9,32.0,52,29.97,10.0,WNW,10.4,18.4,N/A,,Overcast,300,2013-11-12 09:51:00<br />
5:51 AM,39.9,32.0,73,30.02,10.0,Variable,5.8,19.6,0.00,Rain,Light Rain,0,2013-11-12 10:51:00<br />
6:32 AM,37.9,33.1,83,30.08,10.0,Variable,3.5,-,0.01,Rain,Light Rain,0,2013-11-12 11:32:00<br />
6:51 AM,36.0,30.9,82,30.08,4.0,North,10.4,26.5,0.02,Snow,Light Snow,350,2013-11-12 11:51:00<br />
7:26 AM,35.1,30.0,82,30.12,2.5,Variable,6.9,16.1,0.01,Snow,Light Snow,0,2013-11-12 12:26:00<br />
7:34 AM,35.1,30.0,82,30.12,6.0,Variable,6.9,-,0.01,Snow,Light Snow,0,2013-11-12 12:34:00<br />
7:46 AM,35.6,28.4,75,30.13,6.0,North,12.7,18.4,0.01,Snow,Light Snow,350,2013-11-12 12:46:00<br />
7:51 AM,35.1,28.0,76,30.11,6.0,North,-9999.0,-,0.01,Snow,Light Snow,0,2013-11-12 12:51:00<br />
8:05 AM,35.1,28.0,76,30.14,1.5,NW,9.2,17.3,0.00,Snow,Light Snow,320,2013-11-12 13:05:00<br />
8:36 AM,34.0,27.0,75,30.15,3.0,Variable,6.9,-,0.00,Snow,Light Snow,0,2013-11-12 13:36:00<br />
8:51 AM,35.1,26.1,70,30.12,10.0,Variable,4.6,-,0.00,,Overcast,0,2013-11-12 13:51:00<br />
9:51 AM,36.0,25.0,64,30.14,10.0,Variable,4.6,-,N/A,,Overcast,0,2013-11-12 14:51:00<br />
10:51 AM,37.0,23.0,57,30.14,10.0,Variable,5.8,19.6,N/A,,Overcast,0,2013-11-12 15:51:00<br />
11:51 AM,37.9,19.0,47,30.14,10.0,Calm,Calm,-,N/A,,Partly Cloudy,0,2013-11-12 16:51:00<br />
12:51 PM,37.9,19.0,47,30.14,10.0,North,-9999.0,-,N/A,,Partly Cloudy,0,2013-11-12 17:51:00<br />
1:51 PM,37.0,14.0,39,30.17,10.0,NW,12.7,24.2,N/A,,Clear,310,2013-11-12 18:51:00<br />
2:51 PM,37.0,15.1,41,30.18,10.0,North,-9999.0,-,N/A,,Clear,0,2013-11-12 19:51:00<br />
3:51 PM,37.0,14.0,39,30.19,10.0,NW,8.1,18.4,N/A,,Clear,310,2013-11-12 20:51:00<br />
4:51 PM,37.0,15.1,41,30.21,10.0,WNW,8.1,-,N/A,,Clear,300,2013-11-12 21:51:00<br />
5:51 PM,36.0,14.0,41,30.22,10.0,North,-9999.0,-,N/A,,Clear,0,2013-11-12 22:51:00<br />
6:51 PM,35.1,14.0,42,30.26,10.0,Variable,5.8,-,N/A,,Clear,0,2013-11-12 23:51:00<br />
7:51 PM,34.0,12.9,42,30.27,10.0,Variable,3.5,-,N/A,,Clear,0,2013-11-13 00:51:00<br />
8:51 PM,33.1,15.1,48,30.29,10.0,Variable,5.8,-,N/A,,Clear,0,2013-11-13 01:51:00<br />
9:51 PM,33.1,16.0,50,30.29,10.0,WNW,9.2,-,N/A,,Clear,300,2013-11-13 02:51:00<br />
10:51 PM,32.0,16.0,52,30.29,10.0,NW,9.2,18.4,N/A,,Clear,310,2013-11-13 03:51:00<br />
11:51 PM,30.9,17.1,57,30.29,10.0,North,-9999.0,-,N/A,,Clear,0,2013-11-13 04:51:00<br />
